Cenário,Classificador,Score,F1,Train,Test
AskUbuntu,RidgeClassifier,0.926605504587156,0.922369360597209,0.010133743286133,0.000248432159424
AskUbuntu,KNeighborsClassifier,0.779816513761468,0.784385466724916,0.085825920104981,0.007462024688721
AskUbuntu,MLPClassifier,0.871559633027523,0.862737118024419,7.03556299209595,0.003558397293091
AskUbuntu,PassiveAggressiveClassifier,0.926605504587156,0.915526978401596,0.011815309524536,0.000234365463257
AskUbuntu,RandomForestClassifier,0.91743119266055,0.908463931583198,2.29429078102112,0.007736444473267
AskUbuntu,LinearSVC,0.935779816513761,0.931322364779571,0.001522779464722,0.000235080718994
AskUbuntu,SGDClassifier,0.889908256880734,0.880554056484979,0.006471157073975,0.000242233276367
AskUbuntu,LinearSVC_L1,0.89908256880734,0.896548032520263,0.002053260803223,0.000197172164917
AskUbuntu,SGDClassifier_L1,0.880733944954129,0.871307897755303,0.015048742294312,0.004336357116699
AskUbuntu,SGDClassifier_elasticnet,0.853211009174312,0.844131997562673,0.015697002410889,0.000257730484009
AskUbuntu,NearestCentroid,0.926605504587156,0.915526978401596,0.000652551651001,0.000471353530884
AskUbuntu,MultinomialNB,0.889908256880734,0.878124627665912,0.001254081726074,0.000199556350708
AskUbuntu,BernoulliNB,0.91743119266055,0.906602062565365,0.001541614532471,0.003405094146729
AskUbuntu,Pipeline,0.908256880733945,0.908033665629641,0.004010677337646,0.000385046005249
AskUbuntu,KMeans,0.339449541284404,0.172049767500314,0.035074710845947,0.000568389892578
AskUbuntu,LogisticRegression,0.91743119266055,0.908359041570051,0.001969337463379,0.00023078918457
AskUbuntu,RidgeClassifier,0.926605504587156,0.922369360597209,0.009964942932129,0.000231266021729
AskUbuntu,KNeighborsClassifier,0.779816513761468,0.784385466724916,0.076605319976807,0.007442712783813
AskUbuntu,MLPClassifier,0.880733944954129,0.869893363180072,12.3953356742859,0.010548830032349
AskUbuntu,PassiveAggressiveClassifier,0.935779816513761,0.924479982583958,0.015588283538818,0.000431537628174
AskUbuntu,RandomForestClassifier,0.89908256880734,0.891199082042455,2.49560165405273,0.008021593093872
AskUbuntu,LinearSVC,0.935779816513761,0.931322364779571,0.001657724380493,0.000222206115723
AskUbuntu,SGDClassifier,0.880733944954129,0.874062376796769,0.007263898849487,0.000262260437012
AskUbuntu,LinearSVC_L1,0.889908256880734,0.889471803343996,0.002000331878662,0.000218629837036
AskUbuntu,SGDClassifier_L1,0.871559633027523,0.862660756391643,0.015496253967285,0.003176212310791
AskUbuntu,SGDClassifier_elasticnet,0.871559633027523,0.867480402067558,0.016633033752441,0.000264644622803
AskUbuntu,NearestCentroid,0.926605504587156,0.915526978401596,0.001789331436157,0.00050163269043
AskUbuntu,MultinomialNB,0.889908256880734,0.878124627665912,0.001239538192749,0.000252246856689
AskUbuntu,BernoulliNB,0.91743119266055,0.906602062565365,0.001816511154175,0.006500959396362
AskUbuntu,Pipeline,0.89908256880734,0.899204892966361,0.003741979598999,0.000417947769165
AskUbuntu,KMeans,0.339449541284404,0.172049767500314,0.039870738983154,0.000513792037964
AskUbuntu,LogisticRegression,0.91743119266055,0.908359041570051,0.001832008361816,0.000221729278564
AskUbuntu,RidgeClassifier,0.926605504587156,0.922369360597209,0.015234231948853,0.000266075134277
AskUbuntu,KNeighborsClassifier,0.779816513761468,0.784385466724916,0.091170310974121,0.007313013076782
AskUbuntu,MLPClassifier,0.871559633027523,0.860542311918459,15.1951532363892,0.00141167640686
AskUbuntu,PassiveAggressiveClassifier,0.935779816513761,0.931322364779571,0.011295795440674,0.000718355178833
AskUbuntu,RandomForestClassifier,0.91743119266055,0.896340295053681,2.3165135383606,0.005860567092896
AskUbuntu,LinearSVC,0.935779816513761,0.931322364779571,0.001484155654907,0.008331060409546
AskUbuntu,SGDClassifier,0.880733944954129,0.870712552583595,0.018132209777832,0.00558876991272
AskUbuntu,LinearSVC_L1,0.908256880733945,0.906073850650953,0.011992692947388,0.00456428527832
AskUbuntu,SGDClassifier_L1,0.91743119266055,0.907700262367013,0.035065889358521,0.004953861236572
AskUbuntu,SGDClassifier_elasticnet,0.89908256880734,0.887118431261666,0.031802654266358,0.003830909729004
AskUbuntu,NearestCentroid,0.926605504587156,0.915526978401596,0.000710487365723,0.010152578353882
AskUbuntu,MultinomialNB,0.889908256880734,0.878124627665912,0.001202583312988,0.001931667327881
AskUbuntu,BernoulliNB,0.91743119266055,0.906602062565365,0.001611232757568,0.003489017486572
AskUbuntu,Pipeline,0.908256880733945,0.908033665629641,0.003894805908203,0.000391244888306
AskUbuntu,KMeans,0.119266055045872,0.046983597442313,0.060898303985596,0.000511646270752
AskUbuntu,LogisticRegression,0.91743119266055,0.908359041570051,0.001861095428467,0.005231380462646
AskUbuntu,RidgeClassifier,0.926605504587156,0.922369360597209,0.015600919723511,0.011651277542114
AskUbuntu,KNeighborsClassifier,0.779816513761468,0.784385466724916,0.164939403533936,0.020804166793823
AskUbuntu,MLPClassifier,0.880733944954129,0.869696151732257,9.52468395233154,0.011552333831787
AskUbuntu,PassiveAggressiveClassifier,0.926605504587156,0.915067427563473,0.00926661491394,0.000217914581299
AskUbuntu,RandomForestClassifier,0.91743119266055,0.896340295053681,2.19683957099915,0.005624294281006
AskUbuntu,LinearSVC,0.935779816513761,0.931322364779571,0.001474857330322,0.002197980880737
AskUbuntu,SGDClassifier,0.871559633027523,0.872859270910895,0.006661891937256,0.000216722488403
AskUbuntu,LinearSVC_L1,0.908256880733945,0.906073850650953,0.00249719619751,0.000193119049072
